batch_id,topic_id,chunk_id,topic_name,topic_description,confidence,representative_indices,status,error
5,topic_19,1,AI-Generated Content and Misinformation,"This topic focuses on the proliferation of low-quality, AI-generated content on social media platforms, particularly YouTube. It addresses the spread of misinformation, deepfakes, and the ethical concerns surrounding AI-generated videos, especially those involving children or political manipulation.",0.98,"[3, 4, 10]",ok,
5,topic_2,1,Clinical Practice and Medical Ethics,"This topic discusses issues within clinical practice, including medical malpractice, insurance denials, and professional conduct. It also covers ethical dilemmas faced by healthcare providers, such as organ donation consent, patient safety, and the impact of administrative policies on patient care.",0.92,"[0, 1, 5]",ok,
6,topic_20,1,AI Business Adoption and ROI,"Discussions focus on corporate spending on AI, the gap between investment and actual returns, and concerns about an AI bubble. Posts highlight CEO surveys, pilot program failures, and the impact of AI on labor markets and layoffs.",0.95,"[1, 2, 13]",ok,
6,topic_21,1,Grok AI Sexual Content Controversy,"Reports detail xAI's Grok generating non-consensual sexual imagery, including deepfakes of women and children. The posts cover public and governmental backlash, platform policy changes, and allegations of safety negligence.",0.98,"[0, 2, 9]",ok,
6,topic_22,1,US AI Policy and Immigration,"This topic covers executive orders restricting state-level AI regulation and changes to visa policies affecting foreign tech workers. It also includes geopolitical tensions regarding trade and regulatory standards between the US, EU, and other regions.",0.92,"[1, 6, 9]",ok,
7,topic_23,1,Data Breaches and Hacking Incidents,"This topic covers reports of large-scale data breaches affecting various organizations and user bases, including adult websites, credit agencies, and healthcare providers. It also includes discussions of hacking groups, the exposure of sensitive personal information, and related legal or investigative developments.",0.85,"[0, 4, 12]",ok,
7,topic_24,1,Social Media and Device Regulation,"This topic focuses on legislative and institutional efforts to regulate social media access for minors and restrict personal device usage in educational settings. It includes discussions on age verification laws, school phone bans, and the implementation of technology to control digital content.",0.9,"[0, 1, 9]",ok,
7,topic_25,1,Future of AI Development,"This topic explores the evolving trajectory of artificial intelligence, including a perceived shift from language-based models to those capable of understanding and interacting with the physical world. It also covers discussions on the integration of AI into daily life and predictions for future technological advancements.",0.8,"[0, 3, 5]",ok,
8,topic_26,1,AI Tool Evaluation and Usage,"This topic covers the practical evaluation, selection, and daily application of AI tools for various professional and personal workflows. Discussions focus on comparing specific tools for tasks like coding, research, and content creation, identifying genuinely useful applications versus hype, and navigating the rapidly expanding market of AI products.",0.95,"[0, 3, 5]",ok,
8,topic_27,1,AI Consciousness and Nature,"This topic explores the philosophical and technical questions surrounding AI sentience, consciousness, and the fundamental nature of intelligence. It includes debates on whether AI can be considered truly intelligent or conscious, the differences between human and artificial cognition, and the theoretical limits of AI development.",0.95,"[2, 6, 15]",ok,
9,topic_28,1,Public Perception of AI,"This topic covers the polarized public debate surrounding AI, including concerns about job displacement, existential dread, and ethical issues like copyright infringement. It also explores the pro-AI perspective, which views AI as a powerful tool for progress and human augmentation.",0.95,"[0, 1, 2]",ok,
10,topic_30,1,AI Impact on Human Thinking,"This topic explores the cognitive effects of AI tools on users. Discussions focus on whether AI enhances productivity at the cost of critical thinking, creativity, and problem-solving depth. Users debate if reliance on AI creates dependency or serves as a collaborative partner.",0.95,"[0, 1, 5]",ok,
10,topic_4,1,Microsoft Copilot Integration,"This topic covers the deployment and reception of Microsoft Copilot. Posts discuss Microsoft's internal pressure to improve the product, low user adoption rates, and the forced integration of Copilot into other software and devices like LG TVs.",0.92,"[0, 3, 7]",ok,
10,topic_5,1,Chemical Reactions and Safety,"This topic involves practical chemistry questions regarding reactions, reagents, and safety procedures. Users inquire about heating methods, chemical compatibility, safe disposal of substances, and troubleshooting specific experimental setups.",0.98,"[2, 4, 11]",ok,
11,topic_6,1,Human Biology and Evolution,"This topic covers questions about human biology, genetics, and evolutionary processes. Discussions include the function of biological traits, genetic inheritance patterns, evolutionary history of humans, and hypothetical scenarios involving DNA and species characteristics.",0.95,"[2, 5, 9]",ok,
11,topic_7,1,Tech Careers and Job Market,"This topic focuses on career paths, job market conditions, and professional development in the technology and engineering sectors. It includes discussions on interview processes, transitioning between roles, industry trends, and work-life balance.",0.95,"[0, 2, 13]",ok,
11,topic_8,1,Web Browser AI Integration,"This topic centers on the integration of artificial intelligence features into web browsers. It covers announcements from major browser developers regarding AI roadmaps, user reactions to these changes, and related privacy concerns.",0.98,"[1, 3, 6]",ok,
12,topic_9,1,Quantum Computing Fundamentals,"This topic covers the basic principles, current state, and practical applications of quantum computing. Discussions include explanations of how quantum computers work, the concept of quantum advantage, and the distinction between theoretical understanding and practical implementation. It also addresses the feasibility of real-world use cases and the physical limitations of quantum experiments.",0.95,"[0, 2, 7]",ok,
13,noise_2,1,Academic Device Selection,"This topic covers discussions about choosing hardware for academic work, specifically comparing tablets, laptops, and traditional paper for note-taking and problem-solving. Users seek advice on devices for fields like mathematics, chemistry, and computer science, weighing factors like portability, software compatibility (e.g., LaTeX), and workflow integration.",0.95,"[0, 2, 9]",ok,
14,topic_3,1,Human Health and Psychology,"This topic encompasses research on human health, psychological conditions, and lifestyle factors. It covers the biological and behavioral aspects of mental health, physical fitness, sleep, and gender-specific health outcomes. Studies examine links between lifestyle, genetics, and various health conditions.",0.95,"[2, 10, 12]",ok,
15,noise_3,1,General AI Discourse and Impact,"This chunk contains posts discussing a wide range of AI-related topics without a single unifying theme. The posts cover various applications, societal reactions, and future implications of AI, including its use in security, education, and industry, as well as public and expert sentiment.",0.4,"[1, 2, 4]",ok,
15,topic_29,1,AI in Education,"This topic focuses on the impact of artificial intelligence on educational systems and student learning. It covers challenges like academic integrity in open-book exams, the effectiveness of AI tutors versus human teachers, and the broader implications for student skill development and educational equity.",0.95,"[0, 4, 8]",ok,
